GenName	ExpressionLevel
GENE.444	4.09063288354002e-05
GENE.445	4.08978084584996e-05
GENE.446	1.75519761300997e-05
GENE.447	1.70407535998729e-08
GENE.448	0.0
GENE.449	3.54447673299972e-06
GENE.450	3.54447673310034e-06
GENE.451	6.81630141011191e-08
GENE.452	2.45898073356985e-05
GENE.453	3.4396760989e-05
GENE.454	3.43541591051998e-05
GENE.455	0.000136709445149501
GENE.456	1.46550480309947e-06
GENE.457	1.53366781720059e-06
GENE.458	4.62656458186991e-05
GENE.459	4.67087054104014e-05
GENE.460	4.62571254419997e-05
GENE.461	0.0
GENE.462	4.85661475400218e-07
GENE.463	2.76060207099992e-06
GENE.464	8.52037669932248e-09
GENE.465	0.0
GENE.466	6.81630140993844e-08
GENE.467	1.04800634180037e-06
GENE.468	8.52037679993645e-09
GENE.469	3.73448113486999e-05
GENE.470	0.00287423833583
GENE.471	1.53366781701497e-07
GENE.472	5.11222605983908e-08
GENE.473	5.11222605012462e-08
GENE.474	0.0
GENE.475	2.68391868009712e-06
GENE.476	7.71094096980313e-06
GENE.477	6.219875036996e-07
GENE.478	1.18007218155997e-05
GENE.479	9.37241444003145e-08
GENE.480	2.48454186385985e-05
GENE.481	0.0
GENE.482	9.67914800180034e-06
GENE.483	1.04459819104986e-05
GENE.484	0.000538470770617503
GENE.485	0.0
GENE.486	0.0
GENE.487	0.0
GENE.488	0.0
GENE.489	0.0
GENE.490	2.55611301985814e-08
GENE.491	0.0032690896357439
GENE.492	1.1928527467002e-06
GENE.493	1.19285274669673e-06
GENE.494	2.55611303026648e-08
GENE.495	0.0
GENE.496	0.000298392114589
GENE.497	2.98213186599589e-07
GENE.498	9.6723317004499e-05
GENE.499	9.67233170045025e-05
GENE.500	1.10338879069985e-05
GENE.501	1.69044274963004e-05
GENE.502	0.000155650242691801
GENE.503	9.89215742090016e-06
GENE.504	8.00915415696823e-07
GENE.505	5.68309130040065e-06
GENE.506	0.000185215950056602
GENE.507	5.11222605983908e-08
GENE.508	2.81172433200944e-07
GENE.509	9.78991289969991e-06
GENE.510	2.14969105711005e-05
GENE.511	2.33458323279853e-06
GENE.512	2.56463340540108e-06
GENE.513	2.96509111324984e-05
GENE.514	9.00603823760296e-06
GENE.515	3.92618961201976e-05
GENE.516	3.90233255709999e-06
GENE.517	4.70324797280028e-06
GENE.518	2.43171552792992e-05
GENE.519	3.40815070502126e-07
GENE.520	9.7132295089758e-07
GENE.521	3.40815070019873e-08
GENE.522	1.02244521200251e-07
GENE.523	0.0
GENE.524	0.0
GENE.525	0.0
GENE.526	8.52037669932248e-09
GENE.527	9.46613858280113e-06
GENE.528	2.83728546179862e-06
GENE.529	1.44846404960194e-06
GENE.530	5.18209314676991e-05
GENE.531	5.31927121264e-05
GENE.532	1.63165214995993e-05
GENE.533	1.63165214995993e-05
GENE.534	1.63250418763992e-05
GENE.535	1.21756183932009e-05
GENE.536	6.76858729989002e-05
GENE.537	9.70470913220015e-06
GENE.538	9.50874046659958e-06
GENE.539	4.8157169459901e-05
GENE.540	4.82168120972994e-05
GENE.541	4.22781094940004e-05
GENE.542	5.97874837404005e-05
GENE.543	1.18859255833006e-05
GENE.544	0.0
GENE.545	0.0
GENE.546	6.21561484801976e-05
GENE.547	6.2164668857001e-05
GENE.548	6.15426813533985e-05
GENE.549	8.0526080779502e-05
GENE.550	6.25566061880981e-05
GENE.551	3.28034505340039e-06
GENE.552	1.10764897899573e-07
GENE.553	4.60100345158997e-05
GENE.554	4.58737084877009e-05
GENE.555	0.000135840366719701
GENE.556	4.26018837984543e-08
GENE.557	0.000428336380589301
GENE.558	0.000180938720922098
GENE.559	0.0004130508246779
GENE.560	9.77883640996997e-05
GENE.561	7.75524692896018e-05
GENE.562	2.21529795799147e-07
GENE.563	0.000138507244646299
GENE.564	0.000138907702354103
GENE.565	6.7651791491978e-06
GENE.566	8.04493973887016e-05
GENE.567	8.32440809669932e-06
GENE.568	2.55270487794987e-05
GENE.569	0.000123400616647
GENE.570	8.52037669932248e-09
GENE.571	8.52037679993645e-09
GENE.572	5.06110379670105e-06
GENE.573	8.52037679993645e-09
GENE.574	8.52037669932248e-09
GENE.575	4.515799684017e-07
GENE.576	2.68903090615003e-05
GENE.577	7.83874662201034e-07
GENE.578	5.19742982499349e-07
GENE.579	7.74502247679817e-06
GENE.580	8.15400056140142e-06
GENE.581	8.16252093819789e-06
GENE.582	3.23774317002867e-07
GENE.583	1.95627850459977e-05
GENE.584	5.0270222900009e-07
GENE.585	2.91396885260253e-06
GENE.586	5.89695275711975e-05
GENE.587	1.52514744040239e-06
GENE.588	1.17410791783991e-05
GENE.589	0.000885181941824801
GENE.590	1.70407535998729e-08
GENE.591	5.34653641827976e-05
GENE.592	0.0
GENE.593	3.3732171601502e-05
GENE.594	1.70407534992589e-08
GENE.595	3.83757769370011e-05
GENE.596	2.70521962199982e-05
GENE.597	2.70436758432017e-05
GENE.598	1.92475311057982e-05
GENE.599	2.15906347154002e-05
GENE.600	5.41043924399999e-05
GENE.601	8.52037669932248e-09
GENE.602	3.51209930138027e-05
GENE.603	7.24232024799237e-07
GENE.604	0.0
GENE.605	0.0
GENE.606	8.52037679993645e-09
GENE.607	8.52037669932248e-09
GENE.608	6.9185459308993e-06
GENE.609	3.26160022456994e-05
GENE.610	3.26330429990113e-06
GENE.611	8.52037679993645e-09
GENE.612	0.000101128351790498
GENE.613	1.55922894750152e-06
GENE.614	7.66833909010556e-08
GENE.615	6.81630140976497e-08
GENE.616	5.11222606018602e-08
GENE.617	8.52037676003781e-08
GENE.618	8.52037676003781e-08
GENE.619	8.83563070239873e-06
GENE.620	8.83563070239873e-06
GENE.621	1.27209225060029e-05
GENE.622	7.4808907971971e-06
GENE.623	1.05652671850143e-06
GENE.624	0.000123213168358199
GENE.625	0.000183835649021202
GENE.626	8.52037669932248e-09
GENE.627	0.0
GENE.628	0.0
GENE.629	0.0
GENE.630	0.0
GENE.631	0.0
GENE.632	9.37241444003145e-08
GENE.633	9.37241444003145e-08
GENE.634	8.03471528674979e-05
GENE.635	1.7040753530137e-07
GENE.636	8.29032658960019e-06
GENE.637	5.37635773700113e-06
GENE.638	1.10764897899573e-07
GENE.639	0.0002667729964244
GENE.640	7.66833908597692e-07
GENE.641	0.0
GENE.642	3.83416954300581e-07
GENE.643	1.70407534992589e-08
GENE.644	0.0
GENE.645	0.000164613679045703
GENE.646	2.48368982617986e-05
GENE.647	1.19114867135998e-05
GENE.648	8.52037679993645e-09
GENE.649	6.21987503639926e-06
GENE.650	6.21987503640273e-06
